sku,name,category,description,price_cents,stock,aisle,bin,tags,attributes_json
KTZ-PH-001,Picture Hanging Kit (Assorted 50pc),Picture Hanging,"Assorted hooks, nails, wire, and hangers for common frames.",1299,18,Aisle 3,Bin A,picture|hanging|kit,"{""no_drill"":false,""max_weight_lb"":30,""wall_types"":[""painted_drywall"",""plaster""],""includes"":[""hooks"",""nails"",""wire""],""use_case"":""general_frames""}"
KTZ-PH-002,Small Brass Picture Hooks (10 pack),Picture Hanging,"Small hooks for light frames.",399,42,Aisle 3,Bin B,picture|hooks|light,"{""no_drill"":false,""max_weight_lb"":10,""wall_types"":[""painted_drywall"",""plaster""],""tool_needed"":""hammer""}"
KTZ-PH-003,Medium Picture Hooks (10 pack),Picture Hanging,"Medium hooks for medium frames.",499,35,Aisle 3,Bin B,picture|hooks|medium,"{""no_drill"":false,""max_weight_lb"":25,""wall_types"":[""painted_drywall"",""plaster""],""tool_needed"":""hammer""}"
KTZ-PH-004,Heavy Duty Picture Hooks (5 pack),Picture Hanging,"Heavy duty hooks for large frames and mirrors (with proper wall).",699,22,Aisle 3,Bin C,picture|hooks|heavy,"{""no_drill"":false,""max_weight_lb"":50,""wall_types"":[""painted_drywall"",""plaster""],""tool_needed"":""hammer""}"
KTZ-PH-005,Wire Hanging Set (25 ft + crimps),Picture Hanging,"Steel picture wire + crimps for secure hanging.",899,14,Aisle 3,Bin D,wire|picture|hanging,"{""no_drill"":false,""use_case"":""add_wire_to_frame"",""tool_needed"":""pliers""}"
KTZ-PH-006,D-Ring Hangers (4 pack),Picture Hanging,"D-rings for frames; pairs well with wire.",599,28,Aisle 3,Bin D,frame|d-ring|wire,"{""no_drill"":false,""use_case"":""add_hardware_to_frame"",""tool_needed"":""screwdriver""}"
KTZ-PH-007,Sawtooth Hangers (10 pack),Picture Hanging,"Sawtooth hangers for small frames.",399,33,Aisle 3,Bin D,sawtooth|frame,"{""no_drill"":false,""max_weight_lb"":15,""tool_needed"":""screwdriver""}"
KTZ-PH-008,Adhesive Picture anging Strips (Large),Adhesives,"Removable strips for smooth painted walls; better with prep.",899,40,Aisle 7,Bin A,adhesive|no-drill|removable,"{""no_drill"":true,""max_weight_lb"":16,""wall_types"":[""painted_drywall""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-009,Adhesive Picture Hanging Strips (XL),Adhesives,"Extra-strong removable strips for heavier frames on smooth surfaces.",1199,24,Aisle 7,Bin A,adhesive|no-drill|removable,"{""no_drill"":true,""max_weight_lb"":24,""wall_types"":[""painted_drywall""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-010,Clear Removable Mounting Tape (1 in x 10 ft),Adhesives,"General removable mounting tape. Not ideal for dusty/porous walls.",799,31,Aisle 7,Bin B,tape|mounting|no-drill,"{""no_drill"":true,""max_weight_lb"":8,""wall_types"":[""painted_drywall"",""tile"",""glass""],""surface_prep"":""clean_dry"",""removable"":true}"
KTZ-PH-011,Nano Gel Tape (Reusable 1 in x 10 ft),Adhesives,"Reusable gel tape for smooth surfaces; clean and reapply.",999,19,Aisle 7,Bin B,nano|tape|reusable,"{""no_drill"":true,""max_weight_lb"":6,""wall_types"":[""tile"",""glass"",""metal""],""surface_prep"":""clean_dry"",""removable"":true}"
KTZ-PH-012,Museum Putty (2 oz),Adhesives,"Stabilizes frames to reduce slipping; not primary load-bearing.",699,21,Aisle 7,Bin C,putty|stabilizer|no-drill,"{""no_drill"":true,""max_weight_lb"":2,""wall_types"":[""painted_drywall"",""tile""],""use_case"":""anti-slip_support"",""removable"":true}"
KTZ-PH-013,Wall Hook - Adhesive (Small 3 pack),Hooks,"Small adhesive hooks for light items on smooth surfaces.",499,44,Aisle 7,Bin D,hook|adhesive|no-drill,"{""no_drill"":true,""max_weight_lb"":3,""wall_types"":[""painted_drywall"",""tile""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-014,Wall Hook - Adhesive (Large 2 pack),Hooks,"Larger adhesive hooks for towels/light decor.",599,29,Aisle 7,Bin D,hook|adhesive|no-drill,"{""no_drill"":true,""max_weight_lb"":7,""wall_types"":[""painted_drywall"",""tile""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-015,Ceiling Hook - Adhesive (2 pack),Hooks,"Adhesive ceiling hooks for very light items only.",699,12,Aisle 7,Bin E,hook|ceiling|adhesive,"{""no_drill"":true,""max_weight_lb"":1,""wall_types"":[""painted_drywall""],""warnings"":[""not_for_heavy_items""]}"
KTZ-AN-001,Plastic Drywall Anchors (20 pack),Anchors & Screws,"Standard drywall anchors for light-to-medium loads.",499,38,Aisle 4,Bin A,anchor|drywall,"{""no_drill"":false,""max_weight_lb"":25,""wall_types"":[""painted_drywall""],""tool_needed"":""drill_or_screwdriver""}"
KTZ-AN-002,Self-Drilling Drywall Anchors (10 pack),Anchors & Screws,"Self-drilling anchors; faster install; good for shelving/light mounts.",699,26,Aisle 4,Bin A,anchor|self-drilling|drywall,"{""no_drill"":false,""max_weight_lb"":50,""wall_types"":[""painted_drywall""],""tool_needed"":""screwdriver""}"
KTZ-AN-003,Toggle Bolts 1/8 in (4 pack),Anchors & Screws,"Toggle bolts for heavier loads in hollow walls.",899,17,Aisle 4,Bin B,toggle|anchor|heavy,"{""no_drill"":false,""max_weight_lb"":70,""wall_types"":[""painted_drywall""],""tool_needed"":""drill"",""use_case"":""heavy_mirrors_mounts""}"
KTZ-AN-004,Toggle Bolts 3/16 in (4 pack),Anchors & Screws,"Stronger toggle bolts for heavy mounts.",1099,14,Aisle 4,Bin B,toggle|anchor|heavy,"{""no_drill"":false,""max_weight_lb"":90,""wall_types"":[""painted_drywall""],""tool_needed"":""drill"",""use_case"":""tv_mount_heavy""}"
KTZ-AN-005,Masonry Anchors (10 pack),Anchors & Screws,"Anchors for brick/concrete. Requires masonry bit.",899,11,Aisle 4,Bin C,masonry|anchor|brick,"{""no_drill"":false,""wall_types"":[""brick"",""concrete""],""tool_needed"":""hammer_drill"",""warnings"":[""use_masonry_bit""]}"
KTZ-SC-001,Wood Screws Assorted (100 pack),Fasteners,"Assorted wood screws for general projects.",799,23,Aisle 5,Bin A,screws|wood,"{""no_drill"":false,""use_case"":""general_fastening""}"
KTZ-SC-002,Drywall Screws 1-1/4 in (1 lb),Fasteners,"Drywall screws for framing/drywall projects.",899,16,Aisle 5,Bin A,screws|drywall,"{""no_drill"":false,""use_case"":""drywall_fastening""}"
KTZ-TO-001,Mini Bubble Level (6 in),Tools,"Quick leveling for frames and shelves.",499,27,Aisle 9,Bin A,level|tool,"{""use_case"":""leveling""}"
KTZ-TO-002,Stud Finder (Basic),Tools,"Find studs behind drywall for secure mounting.",1799,9,Aisle 9,Bin B,stud|finder|mounting,"{""use_case"":""find_studs"",""wall_types"":[""painted_drywall""]}"
KTZ-TO-003,Tape Measure 16 ft,Tools,"General measuring tool.",899,19,Aisle 9,Bin C,measure|tool,"{""use_case"":""measuring""}"
KTZ-TO-004,Hammer 16 oz,Tools,"General purpose hammer for nails and picture hooks.",1299,13,Aisle 9,Bin D,hammer|tool,"{""use_case"":""hammering""}"
KTZ-TO-005,Screwdriver Set (6 pc),Tools,"Phillips and flathead set.",1499,15,Aisle 9,Bin D,screwdriver|tool,"{""use_case"":""screw_install""}"
KTZ-TO-006,Cordless Drill Bit Set (20 pc),Tools,"Common drill bits for wood and metal.",1599,10,Aisle 9,Bin E,drill|bits|tool,"{""use_case"":""drilling"",""warnings"":[""match_bit_to_material""]}"
KTZ-TO-007,Masonry Drill Bit (3/16 in),Tools,"For brick/concrete drilling.",799,8,Aisle 9,Bin E,masonry|bit,"{""use_case"":""masonry_drilling""}"
KTZ-WR-001,Spackle (Small 8 oz),Wall Repair,"Patch small holes and dents in drywall.",599,21,Aisle 8,Bin A,spackle|repair,"{""use_case"":""patch_small_holes"",""wall_types"":[""painted_drywall""]}"
KTZ-WR-002,Putty Knife 2 in,Wall Repair,"For applying spackle smoothly.",399,17,Aisle 8,Bin A,putty|knife|repair,"{""use_case"":""apply_spackle""}"
KTZ-WR-003,Sanding Sponge (Fine),Wall Repair,"Smooth spackle patches before paint.",299,30,Aisle 8,Bin B,sanding|repair,"{""use_case"":""smooth_patch""}"
KTZ-WR-004,Touch-Up Paint Kit (Basic),Wall Repair,"Mini roller and tray for small touch-ups.",899,12,Aisle 8,Bin C,paint|touchup,"{""use_case"":""touchup_paint""}"
KTZ-CL-001,Isopropyl Alcohol Wipes (30 pack),Prep & Cleaning,"Surface prep for adhesives (improves stick).",599,33,Aisle 7,Bin F,prep|clean|adhesive,"{""use_case"":""surface_prep"",""recommended_for"":[""adhesive_strips"",""mounting_tape""]}"
KTZ-CL-002,Degreaser Spray (12 oz),Prep & Cleaning,"Removes oils; good prep for tile/metal.",899,14,Aisle 7,Bin F,prep|clean|degrease,"{""use_case"":""surface_prep"",""wall_types"":[""tile"",""metal""]}"
KTZ-MT-001,TV Wall Mount (Fixed 32-55in),TV Mounting,"Fixed mount for standard TVs. Stud install recommended.",2999,6,Aisle 6,Bin A,tv|mount|fixed,"{""no_drill"":false,""wall_types"":[""painted_drywall""],""use_case"":""tv_mount"",""requires"":[""stud_finder"",""drill""]}"
KTZ-MT-002,TV Wall Mount (Tilting 32-65in),TV Mounting,"Tilting mount for glare reduction.",3999,5,Aisle 6,Bin A,tv|mount|tilt,"{""no_drill"":false,""wall_types"":[""painted_drywall""],""use_case"":""tv_mount"",""requires"":[""stud_finder"",""drill""]}"
KTZ-MT-003,TV Mount Hardware Kit (Bolts + spacers),TV Mounting,"Universal bolt kit for mounting TVs.",1299,10,Aisle 6,Bin B,tv|hardware|bolts,"{""use_case"":""tv_mount_hardware""}"
KTZ-MT-004,Cable Covers (Cord Hider 60 in),TV Mounting,"Paintable cable cover for neat installs.",1499,12,Aisle 6,Bin C,cable|cover|tidy,"{""no_drill"":true,""wall_types"":[""painted_drywall""],""use_case"":""cable_management""}"
KTZ-HK-001,Over-the-Door Hooks (2 pack),Hooks,"No-drill hooks for doors.",799,25,Aisle 2,Bin A,no-drill|hook|door,"{""no_drill"":true,""max_weight_lb"":10,""use_case"":""door_hanging""}"
KTZ-HK-002,Magnetic Hooks (2 pack),Hooks,"Hooks for metal surfaces (fridge/metal frames).",699,18,Aisle 2,Bin B,hook|magnetic,"{""no_drill"":true,""max_weight_lb"":20,""wall_types"":[""metal""],""use_case"":""metal_surface_hanging""}"
KTZ-HK-003,Suction Cup Hooks (2 pack),Hooks,"Hooks for smooth tile/glass; clean surface required.",599,20,Aisle 2,Bin C,hook|suction|tile,"{""no_drill"":true,""max_weight_lb"":5,""wall_types"":[""tile"",""glass""],""surface_prep"":""clean_dry""}"
KTZ-AD-001,Double-Sided Foam Tape (1 in x 10 ft),Adhesives,"Strong foam tape for mounting lightweight items.",699,28,Aisle 7,Bin B,tape|foam|mounting,"{""no_drill"":true,""max_weight_lb"":10,""wall_types"":[""painted_drywall"",""tile""],""surface_prep"":""clean_dry""}"
KTZ-AD-002,Construction Adhesive (Tube 10 oz),Adhesives,"Permanent adhesive for heavier items (not removable).",599,9,Aisle 7,Bin G,adhesive|permanent,"{""no_drill"":true,""max_weight_lb"":999,""removable"":false,""warnings"":[""permanent_bond""]}"
KTZ-AD-003,Removable Poster Putty (Reusable),Adhesives,"For light posters and small decor; removable.",399,34,Aisle 7,Bin C,putty|poster|removable,"{""no_drill"":true,""max_weight_lb"":1,""removable"":true}"
KTZ-PH-016,Mirror Hanging Kit (Heavy Duty),Picture Hanging,"Hooks + anchors rated for mirrors (use stud when possible).",1499,12,Aisle 3,Bin C,mirror|hanging|kit,"{""no_drill"":false,""max_weight_lb"":70,""wall_types"":[""painted_drywall""],""use_case"":""mirror_hanging""}"
KTZ-PH-017,French Cleat Hanging Kit (18 in),Picture Hanging,"Secure hanging for heavy frames; requires drilling.",1799,7,Aisle 3,Bin E,french|cleat|heavy,"{""no_drill"":false,""max_weight_lb"":120,""wall_types"":[""painted_drywall"",""plaster""],""requires"":[""drill""]}"
KTZ-PH-018,Frame Bumpers (Clear 20 pack),Picture Hanging,"Prevents frame slipping and wall scuffs.",299,40,Aisle 3,Bin F,bumper|stabilizer,"{""no_drill"":true,""max_weight_lb"":0,""use_case"":""anti_slip""}"
KTZ-PH-019,Picture Wire Tensioner Clips (10 pack),Picture Hanging,"Helps keep wire secure; reduces sag.",399,22,Aisle 3,Bin D,wire|clip|frame,"{""no_drill"":false,""tool_needed"":""pliers""}"
KTZ-AN-006,Plaster Wall Anchors (6 pack),Anchors & Screws,"Anchors designed for plaster/lathe walls.",799,10,Aisle 4,Bin D,anchor|plaster,"{""no_drill"":false,""wall_types"":[""plaster""],""tool_needed"":""drill"",""max_weight_lb"":40}"
KTZ-AN-007,Molly Bolts (Hollow Wall Anchors 6 pack),Anchors & Screws,"Hollow wall anchors that expand behind drywall.",1099,9,Aisle 4,Bin B,molly|anchor|hollow-wall,"{""no_drill"":false,""wall_types"":[""painted_drywall""],""tool_needed"":""drill"",""max_weight_lb"":65}"
KTZ-AN-008,Anchor Assortment Kit (Drywall + Screws),Anchors & Screws,"Mixed anchors + screws for common jobs.",1299,14,Aisle 4,Bin A,anchor|kit|assorted,"{""no_drill"":false,""wall_types"":[""painted_drywall""],""max_weight_lb"":50}"
KTZ-TO-008,Command-Style Strip Removal Tool (Plastic),Tools,"Helps remove adhesive strips cleanly (prevents paint peel).",499,16,Aisle 7,Bin H,adhesive|removal|tool,"{""use_case"":""remove_adhesives"",""recommended_for"":[""adhesive_strips""]}"
KTZ-CL-003,Microfiber Cloths (6 pack),Prep & Cleaning,"For cleaning surfaces before adhesive.",499,25,Aisle 7,Bin F,clean|prep|cloth,"{""use_case"":""surface_prep""}"
KTZ-TO-009,Pencil + Marking Kit,Tools,"Marking for alignment and stud points.",299,30,Aisle 9,Bin C,marking|pencil,"{""use_case"":""marking""}"
KTZ-TO-010,Wall Marking Tape (Low Tack),Tools,"Low-tack tape for marking layout lines.",399,18,Aisle 9,Bin C,layout|tape|marking,"{""use_case"":""layout_marking"",""removable"":true}"
KTZ-PH-020,Picture Rail Hooks (2 pack),Picture Hanging,"Hooks for picture rail molding systems.",899,6,Aisle 3,Bin G,rail|hook|no-wall-damage,"{""no_drill"":true,""max_weight_lb"":25,""use_case"":""picture_rail_system""}"
KTZ-PH-021,Ceiling-to-Wall Cable Hanging Kit,Picture Hanging,"Cable kit for hanging art from ceiling/rail.",2299,4,Aisle 3,Bin G,cable|rail|gallery,"{""no_drill"":false,""use_case"":""gallery_hanging""}"
KTZ-AD-004,Grip Primer Wipes (Adhesive Prep),Adhesives,"Improves adhesion on slick surfaces; test area first.",799,10,Aisle 7,Bin F,adhesive|prep|slick,"{""no_drill"":true,""wall_types"":[""tile"",""painted_drywall""],""surface_prep"":""use_primer"",""warnings"":[""test_small_area""]}"
KTZ-AD-005,Silicone Caulk (Clear),Adhesives,"Seal small gaps; not for hanging but common add-on.",599,17,Aisle 7,Bin G,caulk|seal,"{""use_case"":""sealing""}"
KTZ-MT-005,Stud Screws for TV Mount (Lag Bolts 4 pack),TV Mounting,"Lag bolts for stud mounting heavy brackets.",699,12,Aisle 6,Bin B,lag|bolts|stud,"{""no_drill"":false,""use_case"":""stud_mounting"",""requires"":[""drill""]}"
KTZ-MT-006,Leveling Spacers for TV Mount,TV Mounting,"Spacers for uneven walls and mount alignment.",599,10,Aisle 6,Bin B,spacer|mount|level,"{""use_case"":""mount_alignment""}"
KTZ-PH-022,Frame Hanging Z-Clip Set (2 pair),Picture Hanging,"Z-clips for secure hanging; requires screws.",1299,9,Aisle 3,Bin E,z-clip|secure|heavy,"{""no_drill"":false,""max_weight_lb"":80,""requires"":[""drill""]}"
KTZ-PH-023,Brick Clip Hangers (2 pack),Picture Hanging,"Hang on brick without drilling (fits standard brick edges).",1099,8,Aisle 3,Bin H,brick|clip|no-drill,"{""no_drill"":true,""max_weight_lb"":25,""wall_types"":[""brick""],""warnings"":[""check_brick_lip_fit""]}"
KTZ-PH-024,Tile Hook (Adhesive + hook),Picture Hanging,"Adhesive hook designed for tile (clean surface required).",899,11,Aisle 7,Bin D,tile|hook|adhesive,"{""no_drill"":true,""max_weight_lb"":5,""wall_types"":[""tile""],""surface_prep"":""clean_degrease"",""removable"":true}"
KTZ-PH-025,Plaster Picture Hooks (4 pack),Picture Hanging,"Hooks intended for harder plaster walls.",599,9,Aisle 3,Bin C,plaster|hook|picture,"{""no_drill"":false,""max_weight_lb"":20,""wall_types"":[""plaster""],""tool_needed"":""hammer""}"
